Test,GREENHOUSE GAS SOURCE AND SINK CATEGORIES ,State,Year,CO2 Emission
1,Agriculture,Australia,2005,85957
1,Agriculture,Australia,2006,84264
1,Agriculture,Australia,2007,80268
1,Agriculture,Australia,2008,77541
1,Agriculture,Australia,2009,77743
1,Agriculture,Australia,2010,75094
1,Agriculture,Australia,2011,79922
1,Agriculture,Australia,2012,81435
1,Agriculture,Australia,2013,81698
1,Agriculture,Australia,2014,82018
1,Agriculture,Australia,2015,78941
1,Agriculture,Australia,2016,77869
1,Agriculture,Australia,2017,81861
1,Agriculture,Australia,2018,80601
1,Agriculture,Australia,2019,74825
1,Agriculture,ACT,2005,41
1,Agriculture,ACT,2006,39
1,Agriculture,ACT,2007,36
1,Agriculture,ACT,2008,28
1,Agriculture,ACT,2009,29
1,Agriculture,ACT,2010,23
1,Agriculture,ACT,2011,29
1,Agriculture,ACT,2012,28
1,Agriculture,ACT,2013,28
1,Agriculture,ACT,2014,21
1,Agriculture,ACT,2015,23
1,Agriculture,ACT,2016,28
1,Agriculture,ACT,2017,28
1,Agriculture,ACT,2018,24
1,Agriculture,ACT,2019,18
1,Agriculture,TAS,2005,2446
1,Agriculture,TAS,2006,2445
1,Agriculture,TAS,2007,2372
1,Agriculture,TAS,2008,2182
1,Agriculture,TAS,2009,2210
1,Agriculture,TAS,2010,2133
1,Agriculture,TAS,2011,2305
1,Agriculture,TAS,2012,2396
1,Agriculture,TAS,2013,2427
1,Agriculture,TAS,2014,2539
1,Agriculture,TAS,2015,2392
1,Agriculture,TAS,2016,2322
1,Agriculture,TAS,2017,2541
1,Agriculture,TAS,2018,2454
1,Agriculture,TAS,2019,2396
1,Agriculture,NT,2005,2937
1,Agriculture,NT,2006,2993
1,Agriculture,NT,2007,3178
1,Agriculture,NT,2008,3390
1,Agriculture,NT,2009,2798
1,Agriculture,NT,2010,3429
1,Agriculture,NT,2011,3625
1,Agriculture,NT,2012,3657
1,Agriculture,NT,2013,3667
1,Agriculture,NT,2014,3607
1,Agriculture,NT,2015,3525
1,Agriculture,NT,2016,3731
1,Agriculture,NT,2017,3653
1,Agriculture,NT,2018,3540
1,Agriculture,NT,2019,3583
1,Agriculture,SA,2005,6492
1,Agriculture,SA,2006,6338
1,Agriculture,SA,2007,6021
1,Agriculture,SA,2008,5586
1,Agriculture,SA,2009,5686
1,Agriculture,SA,2010,5381
1,Agriculture,SA,2011,6238
1,Agriculture,SA,2012,6164
1,Agriculture,SA,2013,6075
1,Agriculture,SA,2014,6295
1,Agriculture,SA,2015,6095
1,Agriculture,SA,2016,5951
1,Agriculture,SA,2017,6443
1,Agriculture,SA,2018,6194
1,Agriculture,SA,2019,5725
1,Agriculture,WA,2005,11447
1,Agriculture,WA,2006,11092
1,Agriculture,WA,2007,10532
1,Agriculture,WA,2008,9772
1,Agriculture,WA,2009,9831
1,Agriculture,WA,2010,9730
1,Agriculture,WA,2011,8748
1,Agriculture,WA,2012,9223
1,Agriculture,WA,2013,9003
1,Agriculture,WA,2014,9697
1,Agriculture,WA,2015,9878
1,Agriculture,WA,2016,9890
1,Agriculture,WA,2017,9997
1,Agriculture,WA,2018,9771
1,Agriculture,WA,2019,9874
1,Agriculture,VIC,2005,18065
1,Agriculture,VIC,2006,17065
1,Agriculture,VIC,2007,16176
1,Agriculture,VIC,2008,15374
1,Agriculture,VIC,2009,14983
1,Agriculture,VIC,2010,14861
1,Agriculture,VIC,2011,15570
1,Agriculture,VIC,2012,16457
1,Agriculture,VIC,2013,16204
1,Agriculture,VIC,2014,16380
1,Agriculture,VIC,2015,16133
1,Agriculture,VIC,2016,15105
1,Agriculture,VIC,2017,16344
1,Agriculture,VIC,2018,16686
1,Agriculture,VIC,2019,15573
1,Agriculture,QLD,2005,22604
1,Agriculture,QLD,2006,22119
1,Agriculture,QLD,2007,22119
1,Agriculture,QLD,2008,22235
1,Agriculture,QLD,2009,23222
1,Agriculture,QLD,2010,21217
1,Agriculture,QLD,2011,23657
1,Agriculture,QLD,2012,22897
1,Agriculture,QLD,2013,23726
1,Agriculture,QLD,2014,23969
1,Agriculture,QLD,2015,21461
1,Agriculture,QLD,2016,21022
1,Agriculture,QLD,2017,21357
1,Agriculture,QLD,2018,22740
1,Agriculture,QLD,2019,21384
1,Agriculture,NSW,2005,21926
1,Agriculture,NSW,2006,22174
1,Agriculture,NSW,2007,19835
1,Agriculture,NSW,2008,18975
1,Agriculture,NSW,2009,18984
1,Agriculture,NSW,2010,18318
1,Agriculture,NSW,2011,19750
1,Agriculture,NSW,2012,20613
1,Agriculture,NSW,2013,20568
1,Agriculture,NSW,2014,19511
1,Agriculture,NSW,2015,19433
1,Agriculture,NSW,2016,19820
1,Agriculture,NSW,2017,21500
1,Agriculture,NSW,2018,19192
1,Agriculture,NSW,2019,16272
1,Energy,Australia,2005,401717
1,Energy,Australia,2006,407617
1,Energy,Australia,2007,415696
1,Energy,Australia,2008,421016
1,Energy,Australia,2009,425727
1,Energy,Australia,2010,420678
1,Energy,Australia,2011,417557
1,Energy,Australia,2012,423135
1,Energy,Australia,2013,416380
1,Energy,Australia,2014,410088
1,Energy,Australia,2015,420797
1,Energy,Australia,2016,430659
1,Energy,Australia,2017,433168
1,Energy,Australia,2018,434415
1,Energy,Australia,2019,434009
1,Energy,ACT,2005,901
1,Energy,ACT,2006,961
1,Energy,ACT,2007,989
1,Energy,ACT,2008,1054
1,Energy,ACT,2009,1010
1,Energy,ACT,2010,1050
1,Energy,ACT,2011,1093
1,Energy,ACT,2012,1105
1,Energy,ACT,2013,1083
1,Energy,ACT,2014,1051
1,Energy,ACT,2015,1128
1,Energy,ACT,2016,1175
1,Energy,ACT,2017,1141
1,Energy,ACT,2018,1091
1,Energy,ACT,2019,1118
1,Energy,TAS,2005,3798
1,Energy,TAS,2006,3909
1,Energy,TAS,2007,3968
1,Energy,TAS,2008,4256
1,Energy,TAS,2009,4145
1,Energy,TAS,2010,4192
1,Energy,TAS,2011,4234
1,Energy,TAS,2012,4043
1,Energy,TAS,2013,4309
1,Energy,TAS,2014,3895
1,Energy,TAS,2015,3562
1,Energy,TAS,2016,3885
1,Energy,TAS,2017,3848
1,Energy,TAS,2018,3913
1,Energy,TAS,2019,3879
1,Energy,NT,2005,4758
1,Energy,NT,2006,5484
1,Energy,NT,2007,5945
1,Energy,NT,2008,6524
1,Energy,NT,2009,7211
1,Energy,NT,2010,7197
1,Energy,NT,2011,7098
1,Energy,NT,2012,6939
1,Energy,NT,2013,7133
1,Energy,NT,2014,7186
1,Energy,NT,2015,6142
1,Energy,NT,2016,6117
1,Energy,NT,2017,6029
1,Energy,NT,2018,6871
1,Energy,NT,2019,13437
1,Energy,SA,2005,23981
1,Energy,SA,2006,23567
1,Energy,SA,2007,24411
1,Energy,SA,2008,24772
1,Energy,SA,2009,23285
1,Energy,SA,2010,23044
1,Energy,SA,2011,21613
1,Energy,SA,2012,20612
1,Energy,SA,2013,20228
1,Energy,SA,2014,19726
1,Energy,SA,2015,19712
1,Energy,SA,2016,20008
1,Energy,SA,2017,18123
1,Energy,SA,2018,18070
1,Energy,SA,2019,17603
1,Energy,WA,2005,50553
1,Energy,WA,2006,50602
1,Energy,WA,2007,52058
1,Energy,WA,2008,53051
1,Energy,WA,2009,57243
1,Energy,WA,2010,56758
1,Energy,WA,2011,59584
1,Energy,WA,2012,62217
1,Energy,WA,2013,66621
1,Energy,WA,2014,67680
1,Energy,WA,2015,68237
1,Energy,WA,2016,71968
1,Energy,WA,2017,78282
1,Energy,WA,2018,82456
1,Energy,WA,2019,84337
1,Energy,VIC,2005,104511
1,Energy,VIC,2006,104670
1,Energy,VIC,2007,103347
1,Energy,VIC,2008,104559
1,Energy,VIC,2009,107406
1,Energy,VIC,2010,106813
1,Energy,VIC,2011,107271
1,Energy,VIC,2012,109753
1,Energy,VIC,2013,101618
1,Energy,VIC,2014,100228
1,Energy,VIC,2015,104069
1,Energy,VIC,2016,102080
1,Energy,VIC,2017,99076
1,Energy,VIC,2018,89825
1,Energy,VIC,2019,86992
1,Energy,QLD,2005,93370
1,Energy,QLD,2006,95630
1,Energy,QLD,2007,97685
1,Energy,QLD,2008,98890
1,Energy,QLD,2009,99990
1,Energy,QLD,2010,100808
1,Energy,QLD,2011,97776
1,Energy,QLD,2012,100881
1,Energy,QLD,2013,101110
1,Energy,QLD,2014,98608
1,Energy,QLD,2015,107786
1,Energy,QLD,2016,112755
1,Energy,QLD,2017,115436
1,Energy,QLD,2018,121060
1,Energy,QLD,2019,118415
1,Energy,NSW,2005,119211
1,Energy,NSW,2006,122130
1,Energy,NSW,2007,126455
1,Energy,NSW,2008,127034
1,Energy,NSW,2009,124579
1,Energy,NSW,2010,119907
1,Energy,NSW,2011,117953
1,Energy,NSW,2012,116674
1,Energy,NSW,2013,113328
1,Energy,NSW,2014,110649
1,Energy,NSW,2015,109177
1,Energy,NSW,2016,111508
1,Energy,NSW,2017,110266
1,Energy,NSW,2018,110261
